"﻿I01";"NOMPROV";"I02";"NOMCANT";"I03";"I03Cl";"I03C";"codParr";"NOMPARR";"I04";"I05";"numv";"numh";"nump";"TOTPER";"H00";"P00";"PCD";"P01";"P03";"GEDAD";"GRANEDAD";"P04M";"P04A";"P05";"P06_A";"P07";"P08";"Discapacidad";"P11LO";"P11L";"P11P";"P11C";"P11PQ";"P12LO";"P12L";"P12P";"P12C";"P12PQ";"P13LO";"P13L";"P13P";"P13C";"P13PQ";"P142P";"P142M";"P152";"P16";"P19";"P20T";"P20I";"P20C";"P21";"P23";"P24";"GRAESC";"GRAESCSA";"P25";"P27";"P28";"TIPOACT";"P29";"RAMACT";"P30";"GRUOCU";"P31";"CATOCUP";"P32";"P33";"P34";"P35";"P36";"P36H";"P36M";"P37";"P38";"P39A";"P39M";"P40";"P02"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;41;1;2;5;1;2;1;2;24;6;2;5;1986;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;2;1;3;2;;7;5;11;;;;;;;;;1;7;3;2;1;3;18;2008;5;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;42;1;1;3;1;1;1;1;24;6;2;11;1986;1;1;2;2;2;2;2;10;1001;100150;1;1;10;1002;100250;1;1;10;1002;100250;2;;2;6;1;2;2;2;2;5;2;9;8;;1;;1;9000;18;4110;4;6;6;40;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;42;1;2;3;1;2;1;2;21;6;2;11;1989;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;6;7;6;;1;;1;1410;3;7533;7;2;2;40;2;1;7;1;1;0;1;18;2008;11;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;43;1;1;1;1;1;9;2;89;19;3;11;1921;1;1;2;9;2;2;2;10;1003;100350;1;1;10;1002;100250;1;1;10;1002;100250;;;2;1;2;2;2;2;2;1;;;;;1;;1;9700;20;9111;9;8;8;44;2;1;7;99;99;99;99;99;9999;99;9;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;44;1;1;5;1;1;1;1;28;7;2;12;1981;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;1;;1;111;1;9211;9;3;3;40;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;44;1;2;5;1;2;1;2;26;7;2;5;1984;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;2;2;2;2;1;2;1;0;0;;7;5;11;;;;;;;;;1;7;3;2;1;3;18;2010;11;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;47;1;1;8;1;1;1;1;37;9;2;12;1972;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;1;;1;4100;6;7112;7;2;2;55;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;47;1;2;8;1;2;1;2;38;9;2;10;1972;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;4;1;1;2;2;1;2;3;5;4;;7;5;11;;;;;;;;;1;7;5;4;1;5;18;2002;4;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;48;1;1;5;1;1;1;1;35;9;2;12;1974;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;1;;;;;1;;1;4100;6;7112;7;2;2;45;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;48;1;2;5;1;2;1;2;34;8;2;10;1976;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;2;3;2;;3;;3;9700;20;9121;9;2;2;45;2;1;7;3;1;2;3;19;2005;6;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;49;1;1;4;1;1;1;1;39;9;2;11;1971;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;1;;1;2511;3;7222;7;3;3;40;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;49;1;2;4;1;2;1;2;33;8;2;8;1977;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;6;7;6;;1;;1;1312;3;7532;7;2;2;50;2;1;3;2;0;2;2;25;2006;3;1;"2"
